DAY;HAPPINESS;ANGER;SADNESS;FEAR;DISGUST;UNCLASSIFIED
2015-09-14;22;2;0;3;0;13;
2015-09-15;31;4;2;13;0;10;
2015-09-16;24;1;1;2;0;12;
2015-09-17;19;4;0;7;1;9;
2015-09-18;8;2;1;1;0;8;
2015-09-19;11;1;1;1;0;6;
2015-09-20;18;2;4;5;0;11;
2015-09-21;19;3;1;2;0;15;
2015-09-22;11;2;3;5;0;19;
2015-09-23;19;3;1;5;0;12;
2015-09-24;13;4;1;8;0;14;
2015-09-25;13;2;5;7;0;13;
2015-09-26;20;2;0;1;0;17;
2015-09-27;23;3;2;2;0;10;
2015-09-28;16;3;1;3;0;17;
2015-09-29;18;5;0;4;2;11;
2015-09-30;17;3;1;6;0;9;
2015-10-01;20;2;2;2;1;13;
2015-10-02;19;0;1;4;0;16;
2015-10-03;16;3;1;3;0;17;
2015-10-04;18;3;3;3;0;13;
2015-10-05;15;4;1;2;1;17;
2015-10-06;17;5;4;4;0;10;
2015-10-07;16;3;0;1;0;20;
2015-10-08;18;4;0;5;4;9;
2015-10-09;17;5;2;3;1;12;
2015-10-10;16;1;3;4;1;15;
2015-10-11;24;0;2;5;0;9;
2015-10-12;18;4;0;4;2;12;
2015-10-13;15;6;1;3;1;14;
2015-10-14;18;3;1;2;0;16;
2015-10-15;20;1;1;4;1;13;
2015-10-16;18;4;0;5;1;12;
2015-10-17;18;2;3;2;1;14;
2015-10-18;16;7;0;6;0;11;
2015-10-19;16;2;2;6;1;13;
2015-10-20;15;9;1;1;0;14;
2015-10-21;17;2;0;6;0;15;
2015-10-22;26;3;2;1;0;8;
2015-10-23;22;2;2;6;0;8;
2015-10-24;7;0;2;2;0;9;
2015-10-25;19;1;3;5;0;12;
2015-10-26;16;3;1;1;0;19;
2015-10-27;19;2;0;3;0;16;
2015-10-28;21;1;2;2;0;12;
2015-10-29;20;1;2;4;1;12;
2015-10-30;24;2;1;4;1;8;
2015-10-31;9;0;0;0;0;8;
2015-11-01;10;0;0;0;0;8;
2015-11-02;14;1;1;0;0;10;
2015-11-03;5;0;0;3;1;1;
2015-11-04;4;1;0;4;0;2;
2015-11-05;17;4;3;7;0;9;
2015-11-06;16;2;1;4;2;15;
2015-11-07;1;0;0;0;0;0;
2015-11-08;14;3;1;4;0;10;
2015-11-09;7;1;0;4;0;4;
2015-11-10;3;0;0;0;0;2;
2015-11-11;4;2;0;1;0;2;
2015-11-12;7;0;0;1;0;7;
2015-11-13;4;1;1;0;0;2;
2015-11-14;14;2;3;6;0;15;
2015-11-15;4;1;1;5;0;9;
2015-11-16;14;2;2;7;0;15;
2015-11-17;16;1;1;0;0;3;
2015-11-18;19;3;2;8;0;8;
2015-11-19;6;0;0;3;0;3;
2015-11-20;7;2;1;3;1;6;
2015-11-21;11;2;0;4;0;7;
2015-11-22;3;0;0;0;0;3;
2015-11-23;8;1;1;0;0;6;
2015-11-24;2;0;1;1;0;2;
2015-11-25;6;3;1;2;1;7;
2015-11-26;7;2;0;4;0;7;
2015-11-27;9;0;1;3;0;7;
2015-11-28;1;0;1;2;0;3;
2015-11-29;4;0;0;1;0;4;
2015-11-30;0;0;0;0;0;1;
2015-12-01;3;0;0;2;0;1;
2015-12-02;16;2;2;4;0;16;
2015-12-03;4;1;1;0;0;3;
2015-12-04;6;0;0;0;1;2;
2015-12-05;1;1;0;3;0;1;
2015-12-06;21;4;1;4;1;9;
2015-12-07;5;1;0;0;0;3;
2015-12-08;8;0;2;1;0;10;
2015-12-09;1;0;0;0;0;6;
2015-12-10;3;1;0;1;0;2;
2015-12-11;12;0;0;1;0;7;
2015-12-12;8;0;1;4;1;6;
2015-12-13;4;0;0;2;1;11;
2015-12-14;1;0;0;0;0;1;
2015-12-15;8;1;0;2;1;5;
2015-12-16;10;2;2;1;0;3;
2015-12-17;5;0;0;0;1;6;
2015-12-18;7;1;0;3;0;4;
2015-12-19;10;1;2;1;0;6;
2015-12-20;2;1;1;5;1;2;
2015-12-21;8;1;0;1;0;5;
2015-12-22;8;1;1;1;1;4;
2015-12-23;3;2;0;0;0;4;
2015-12-24;3;0;0;0;0;3;
2015-12-26;11;4;0;1;0;4;
2015-12-27;8;4;1;3;0;4;
2015-12-28;4;0;1;0;0;1;
2015-12-29;13;1;0;0;0;6;
2015-12-30;11;1;1;1;0;6;
2015-12-31;3;1;1;0;0;3;
2016-01-01;3;0;1;0;0;0;
2016-01-02;3;0;1;4;0;6;
2016-01-03;2;0;0;0;0;3;
2016-01-04;3;2;0;1;0;2;
2016-01-05;5;3;0;2;0;10;
2016-01-06;9;0;1;0;0;5;
2016-01-07;3;0;0;0;0;2;
2016-01-08;8;2;0;4;0;6;
2016-01-09;7;1;0;3;0;9;
2016-01-10;10;0;0;2;0;8;
2016-01-11;4;1;1;1;0;1;
2016-01-12;5;0;1;1;0;3;
2016-01-13;6;8;1;6;0;19;
2016-01-14;16;2;1;3;0;18;
2016-01-15;8;2;0;1;0;9;
2016-01-16;20;4;3;3;0;10;
2016-01-17;26;2;0;3;0;9;
2016-01-18;15;4;0;3;1;7;
2016-01-19;15;5;0;3;1;16;
2016-01-20;12;1;1;1;1;14;
